1476846082.723000, /muse/acc, 355.4693, 933.5952, 101.56266
1476846082.745000, /muse/drlref, 1654838.8, 1648387.1
1476846082.745000, /muse/acc, 359.37555, 933.5952, 105.46892
1476846082.761000, /muse/eeg, 829.07007, 847.16486, 819.2002, 820.8452
1476846082.761000, /muse/eeg/quantization, 1, 1, 1, 1
1476846082.762000, /muse/eeg, 830.7151, 845.5199, 820.8452, 820.8452
1476846082.762000, /muse/eeg, 832.36005, 847.16486, 820.8452, 830.7151
1476846082.762000, /muse/elements/alpha_relative, 0.051248983, 0.08156665, 0.069777794, 0.21962625
1476846082.762000, /muse/elements/beta_relative, 0.17533015, 0.043961562, 0.03934896, 0.19834729
1476846082.762000, /muse/elements/delta_relative, 0.5419483, 0.5877661, 0.644101, 0.355143
1476846082.762000, /muse/elements/gamma_relative, 0.063673675, 0.029807542, 0.045033094, 0.15383664
1476846082.762000, /muse/elements/theta_relative, 0.16779889, 0.25689813, 0.20173916, 0.0730468
1476846082.763000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1476846082.763000, /muse/elements/is_good, 1, 1, 1, 1
1476846082.763000, /muse/elements/blink, 0
1476846082.763000, /muse/elements/jaw_clench, 0
1476846082.763000, /muse/elements/touching_forehead, 1
1476846082.763000, /muse/elements/experimental/concentration, 0.4966377
1476846082.763000, /muse/elements/experimental/mellow, 0.0
1476846082.763000, /muse/elements/raw_fft0, 4.3622203, 13.4263735, 13.180948, 8.347046, 12.003333, 7.9689994, 8.094426, 6.1286983, 3.8550162, 5.0323853, -2.7211514, -0.827752, -2.9691472, -0.23883787, -4.3456755, -6.1362643, -3.733551, -2.1318524, -0.0147346845, -4.1579604, -6.6150856, -11.176109, -2.481269, -4.1738873, -10.550469, -10.19714, -9.65569, -5.708862, -1.1310498, -5.143248, -14.9699, -13.840829, -11.341739, -11.150779, -13.107578, -6.271995, -5.832099, -13.096736, -9.29041, -6.923851, -7.1955886, -9.598938, -13.949976, -8.125576, -10.389097, -9.4093685, -5.0547976, -8.585562, -9.551516, -12.898351, -13.497882, -4.0615945, -1.6932842, -10.196462, -11.719176, -7.6543975, -4.1356635, -5.312553, -9.637081, -7.1203747, -4.781259, -6.7378287, -11.849467, -8.852255, -11.36956, -13.132404, -13.105456, -13.538864, -19.143566, -22.783283, -23.198627, -25.051502, -19.831709, -13.497791, -12.634948, -14.995978, -10.8034725, -9.225225, -13.894949, -14.459614, -7.8577986, -7.658529, -7.2602882, -10.171484, -11.747951, -11.469033, -11.742943, -17.780024, -16.096619, -10.488411, -7.4670835, -11.485834, -18.463875, -13.846587, -12.563235, -13.147531, -10.990013, -12.13268, -18.752157, -11.90604, -10.16702, -9.476449, -9.231127, -9.228918, -14.9888525, -12.421052, -16.152151, -12.142267, -7.816182, -13.499372, -14.363807, -12.873741, -11.544651, -11.218, -16.336603, -14.397648, -13.835031, -14.054943, -17.284613, -21.209188, -15.8038645, -11.698899, -16.909588, -18.817421, -18.112526, -24.222025, -18.108713, -14.758225, -14.086565
1476846082.764000, /muse/elements/raw_fft1, 6.834473, 12.744679, 11.436905, 9.592685, 6.701141, 7.8940187, 3.47534, 0.68507016, -0.74545175, 0.6978235, -0.5009602, -7.766836, -9.886418, -11.043104, -12.773621, -12.458236, -15.294261, -15.205436, -13.36175, -11.937632, -9.447466, -12.028996, -19.002935, -20.096987, -7.9679203, -6.927386, -16.241783, -19.28783, -14.136509, -9.197661, -12.506944, -8.567789, -9.491278, -13.760769, -12.428344, -9.488924, -9.243127, -12.0380535, -10.895067, -13.094624, -11.241807, -11.848165, -11.3555355, -11.829784, -17.791481, -15.830569, -15.33606, -14.386432, -16.054731, -13.848566, -15.088383, -13.448419, -12.176124, -10.285336, -12.629078, -8.872479, -10.740102, -12.60202, -13.346057, -13.077208, -20.722813, -18.3171, -16.269144, -14.88516, -12.58231, -15.5137615, -17.566605, -18.883375, -25.334658, -30.345768, -33.61024, -30.736115, -21.818155, -22.137472, -18.194025, -15.899247, -13.695956, -12.63043, -14.168443, -18.313696, -18.797432, -15.698161, -14.074669, -12.866195, -20.622093, -15.816382, -14.067426, -19.001064, -19.351816, -20.665833, -16.258863, -19.256449, -18.257637, -15.167411, -14.207319, -24.08979, -15.4617405, -13.691312, -11.942279, -17.546053, -17.542791, -14.871601, -17.186972, -23.194609, -23.118883, -16.095798, -18.315474, -20.316553, -16.4072, -12.789474, -17.153263, -22.290749, -20.620998, -18.951307, -25.766205, -29.266928, -25.192913, -24.125538, -24.947239, -20.363081, -20.291483, -22.939081, -29.736746, -28.437977, -28.834545, -28.118465, -29.09855, -25.34338, -29.609652
1476846082.764000, /muse/elements/raw_fft2, 9.45886, 16.105442, 12.758211, 6.9571233, 1.6718692, 1.0085411, 5.4795256, 1.6246464, -2.7963731, -3.9050426, -4.51554, -4.7747316, -7.217436, -9.227458, -10.454819, -9.842055, -13.4437065, -9.105112, -8.188501, -12.917208, -13.979548, -10.2198305, -9.755701, -12.8811655, -11.057873, -11.566339, -16.776861, -17.516016, -17.986439, -10.702717, -9.564451, -11.168451, -8.904669, -12.910933, -11.788031, -9.596528, -9.359079, -14.428238, -20.952168, -14.416998, -10.874486, -14.009607, -7.7764263, -10.608927, -16.58647, -10.386873, -8.806564, -6.5186453, -7.9003596, -10.144441, -8.5541935, -9.595849, -11.844853, -12.23398, -11.76188, -13.260624, -14.395217, -14.593615, -15.86332, -20.235703, -20.156195, -21.024752, -21.140516, -18.736864, -16.341417, -20.378521, -19.443027, -22.587404, -27.705322, -29.15167, -33.455822, -27.96523, -24.645958, -21.383324, -25.669636, -23.45117, -19.642973, -17.048672, -14.0747, -20.330433, -15.480177, -15.113577, -16.230923, -19.296705, -22.548271, -13.584604, -15.240033, -19.316141, -20.69208, -15.948134, -18.084373, -22.388935, -16.482138, -17.516083, -14.703988, -14.472334, -16.286564, -24.71529, -26.508823, -27.526882, -14.501963, -10.529928, -13.321832, -20.42038, -17.08594, -22.361229, -24.07902, -22.758501, -19.616917, -20.404217, -26.450754, -22.003994, -18.792952, -17.303293, -18.302782, -24.888851, -24.12908, -20.422462, -27.053076, -30.60857, -32.95711, -29.529886, -28.852009, -23.662233, -18.743525, -20.674726, -23.384592, -24.818346, -26.451351
