1476793820.601000, /muse/acc, 246.09413, 964.8453, 144.53148
1476793820.775000, /muse/eeg, 845.5199, 855.3898, 819.2002, 838.94
1476793820.775000, /muse/eeg/quantization, 1, 1, 1, 1
1476793820.776000, /muse/eeg, 843.87494, 835.65, 812.6203, 840.58496
1476793820.776000, /muse/eeg, 842.2299, 825.78015, 807.68536, 840.58496
1476793820.776000, /muse/eeg, 842.2299, 847.16486, 809.3303, 842.2299
1476793820.776000, /muse/eeg, 838.94, 792.88055, 794.5255, 857.0347
1476793820.776000, /muse/eeg, 843.87494, 827.4251, 810.9753, 852.0998
1476793820.776000, /muse/eeg, 850.45483, 891.57935, 825.78015, 835.65
1476793820.776000, /muse/elements/alpha_relative, 0.18697818, 0.20189376, 0.2275729, 0.20856023
1476793820.776000, /muse/elements/beta_relative, 0.03610431, 0.30901507, 0.15085888, 0.043275647
1476793820.776000, /muse/elements/delta_relative, 0.3689778, 0.053540543, 0.44738057, 0.350128
1476793820.776000, /muse/elements/gamma_relative, 0.011611863, 0.39605471, 0.14326335, 0.017083619
1476793820.777000, /muse/elements/theta_relative, 0.39632785, 0.039495908, 0.030924294, 0.38095254
1476793820.777000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1476793820.777000, /muse/elements/is_good, 1, 1, 1, 1
1476793820.777000, /muse/elements/blink, 0
1476793820.777000, /muse/elements/jaw_clench, 0
1476793820.777000, /muse/elements/touching_forehead, 1
1476793820.777000, /muse/elements/experimental/concentration, 0.29000542
1476793820.777000, /muse/elements/experimental/mellow, 0.38986528
1476793820.778000, /muse/elements/raw_fft0, -1.9321847, 4.004442, 4.254323, 5.1114836, 5.272837, 3.5858932, 3.7573004, 3.22627, 0.79842967, -2.4747317, -4.5305586, -3.1930244, -1.3708593, -4.8608656, -3.7065008, -11.169982, -7.835872, -9.634076, -9.853034, -15.784104, -9.069041, -9.207525, -20.078182, -21.16015, -22.184866, -15.721759, -16.008554, -17.303818, -17.698515, -16.126423, -12.212668, -11.1547575, -9.419978, -12.578989, -10.666959, -12.545174, -14.216657, -15.816829, -17.219753, -15.068679, -15.8321495, -20.559391, -15.948211, -17.650822, -17.631523, -14.372621, -15.736627, -16.327696, -16.637545, -18.16192, -18.825058, -17.19038, -16.79991, -15.244459, -10.067104, -14.924918, -19.552525, -14.186096, -13.160558, -19.960272, -16.747313, -17.668428, -19.15906, -21.848328, -21.62889, -25.98348, -26.440945, -22.738335, -17.342346, -2.8151891, -3.274156, -20.936138, -26.453396, -22.87251, -20.431448, -23.731707, -17.458763, -16.143074, -19.17453, -22.85604, -17.675816, -16.65175, -22.910307, -22.193531, -18.093334, -14.955595, -14.45272, -18.702744, -17.04838, -20.511284, -21.518927, -19.198576, -24.41894, -25.458889, -22.266094, -16.706663, -15.082364, -17.047642, -14.910472, -15.472733, -22.992327, -20.914925, -24.07465, -20.550943, -24.260012, -17.973751, -22.5469, -23.054869, -17.739565, -20.340004, -18.192324, -15.111679, -16.87319, -18.674677, -18.798424, -21.02142, -21.222818, -22.303774, -28.687645, -23.38897, -27.223253, -27.393438, -25.114483, -25.120441, -23.044533, -26.504957, -29.812313, -30.099365, -26.165178
1476793820.779000, /muse/elements/raw_fft1, -7.0015926, -0.77717173, -0.33757287, -3.460702, -3.2154503, -4.390554, -4.371057, -5.8488784, -8.820359, -6.43964, -1.491541, -0.36766055, -4.563927, -8.432355, -4.984089, -2.7918577, -1.2861549, -9.486772, -4.206433, -4.791889, -9.920422, -5.038546, -1.6083859, -8.61244, -14.001085, -6.3361416, -0.6278473, -5.3706913, -2.5208232, -5.2592254, 0.15628946, 2.4739861, 4.4643154, -0.60710967, 0.37727657, -5.694186, -5.5259237, -1.1562833, 4.690797, -0.8792424, -1.9452039, -1.2083666, 1.7570294, -2.2690632, -2.9366844, -0.20014793, -2.459844, 0.22788014, 1.9111307, -2.9349303, 0.092446715, -2.6914558, -2.0435445, 4.3941684, 9.884988, 1.6497757, -5.873848, 2.1012793, 5.6392922, -4.195058, -7.023217, -2.4402235, -6.6519437, -6.734498, -3.4196904, -6.4727817, -10.902451, -12.647578, -13.6039295, -11.455308, -11.039272, -18.335945, -15.100031, -8.272251, -7.2731233, -7.811183, -9.770333, -5.0897784, -3.0895593, -3.877794, -10.499669, -0.65129095, 3.695355, -3.0367944, -3.4268649, 3.3631299, 3.9781141, -4.18603, -7.250689, -10.897034, -5.899473, 1.5746557, 1.6271597, -1.1039042, -5.030465, -4.241335, -5.2442064, 0.43312737, 3.7308507, -3.707567, -6.3553696, 0.7799265, 0.44915432, 1.1646098, -0.17897555, -5.9679055, 1.2509621, 3.536385, 6.214842, 0.47769806, 1.5271343, -3.6774437, -2.8222497, -4.6936736, -10.177571, -4.572741, -1.0734874, -3.8065324, -1.1903064, -2.0559244, -7.650166, -6.3272376, -7.3957486, -5.962552, -4.0985017, -5.229974, -9.026392, -8.065021, -10.24479
1476793820.781000, /muse/elements/raw_fft2, 7.20672, 11.9473915, 5.2672157, -2.811387, -3.9338734, -8.21602, -8.206988, -6.2868896, -13.518231, -15.037648, -9.998324, -8.894276, -10.086005, -9.974613, -11.176216, -12.122171, -7.9009523, -9.546675, -9.55614, -13.028419, -13.723839, -12.624003, -10.364992, -10.121301, -14.700283, -9.928242, -5.244763, -11.153087, -12.657908, -14.987172, -12.114094, -6.328441, -3.0801406, -8.26965, -7.8175893, -10.219221, -10.280825, -8.488172, -3.2401536, -8.061632, -10.264321, -9.629635, -7.847102, -15.692145, -10.518371, -10.928929, -15.26589, -8.898374, -6.1717105, -13.366022, -8.976247, -11.377989, -8.909362, -4.6235895, 0.5255942, -7.0232587, -16.821438, -6.604073, -3.4839568, -13.160586, -14.006913, -11.415901, -16.042252, -13.760414, -12.66586, -15.284012, -18.584448, -25.424253, -29.697302, -16.914087, -16.71503, -27.365694, -21.895874, -17.473309, -18.14608, -15.942135, -20.359686, -14.64178, -10.011897, -14.627719, -15.541838, -9.252795, -4.3494463, -10.834145, -12.578686, -5.5664744, -5.360548, -11.963613, -13.5518875, -17.316225, -15.827095, -8.508117, -7.3310695, -7.9478636, -13.8993435, -15.9684305, -16.656763, -8.026489, -5.1389465, -12.940764, -15.171604, -8.076351, -7.9690127, -6.6346936, -8.51851, -12.869128, -7.0861397, -5.3651505, -2.7758603, -8.731355, -8.632518, -12.829382, -11.222252, -12.872291, -17.932276, -13.660185, -10.584223, -12.489115, -9.602685, -11.389763, -15.825061, -17.108189, -16.944006, -15.525288, -14.143921, -15.035492, -16.159302, -16.493948, -20.16224
1476793820.782000, /muse/elements/raw_fft3, -0.32505083, 6.0759773, 6.4612317, 4.3332047, 3.716109, 4.351673, 4.5293517, 3.164723, -0.79417485, -5.1876745, -6.955713, -6.458807, -3.5448523, -6.556845, -6.756217, -7.401039, -4.451545, -11.469911, -11.807617, -11.933313, -9.892838, -8.773786, -9.150766, -10.287105, -12.579549, -11.031028, -15.524431, -19.650553, -14.329415, -12.309823, -12.665635, -12.171766, -13.361893, -16.053038, -14.727115, -17.311108, -17.278074, -18.794786, -13.5286, -13.445992, -20.787697, -15.616296, -9.157884, -12.913613, -14.687644, -18.597477, -15.848253, -11.578279, -11.042334, -19.081041, -17.254633, -16.57657, -15.486517, -11.091229, -6.190208, -14.707957, -19.979456, -15.885663, -11.958161, -15.4304695, -17.410547, -16.241585, -15.0111885, -17.47917, -18.311014, -22.466318, -25.975693, -19.942436, -19.604776, -15.269551, -16.269554, -30.47475, -27.48063, -19.936708, -18.485586, -22.337889, -18.885118, -17.193596, -13.824269, -14.7714815, -18.152945, -14.641486, -11.582294, -15.729326, -21.125086, -13.037726, -12.034825, -17.930702, -15.291288, -19.031693, -17.73722, -10.63825, -11.8243885, -14.825093, -16.389318, -20.555582, -17.725073, -15.187118, -11.498671, -16.841562, -17.931812, -15.288339, -14.826885, -16.396128, -20.082483, -17.536335, -12.962808, -11.092788, -9.923514, -16.62541, -14.335969, -15.922581, -19.296494, -22.335402, -24.281069, -19.280033, -13.520068, -14.637153, -14.769129, -16.018806, -17.834171, -18.892452, -20.692858, -18.425423, -16.459738, -18.72466, -27.591171, -26.027325, -23.05016
1476793820.782000, /muse/elements/low_freqs_absolute, 1.442487, 0.5594175, 0.9220358, 1.4319842
1476793820.782000, /muse/elements/alpha_absolute, 0.830443, 0.89588726, 0.59945154, 0.8872504
1476793820.782000, /muse/elements/beta_absolute, 0.11621117, 1.080744, 0.42090183, 0.20426251
1476793820.782000, /muse/elements/delta_absolute, 1.1256523, 0.3194471, 0.8930081, 1.1122458
1476793820.782000, /muse/elements/gamma_absolute, -0.37644598, 1.1885195, 0.39846608, -0.19940118
1476793820.782000, /muse/elements/theta_absolute, 1.1567067, 0.18731643, -0.2673692, 1.1488898
1476793820.783000, /muse/elements/alpha_session_score, 0.6875, 0.45652175, 1.0, 0.8125
1476793820.783000, /muse/elements/beta_session_score, 0.525, 0.09090909, 0.94736844, 0.84
1476793820.783000, /muse/elements/delta_session_score, 0.8833333, 0.24752475, 0.80254775, 0.79611653
1476793820.783000, /muse/elements/gamma_session_score, 0.114285715, 0.04761905, 0.75, 0.0
